[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent]
CB_DIFFERENCES,Petty Cash Over/Short,Petty Cash Differences,Expense,,Yes,No,CB_DIFFERENCES_ACCT,DEFAULTS_NOT_CONFIGURED
DEFAULT,Default account,Default Account (if no other account is defined) V1.1,Expense,,Yes,No,DEFAULT_ACCT,DEFAULTS_NOT_CONFIGURED
SUSPENSEBALANCING,Suspense balancing ,Difference to make journal balance in source currency - needs to be solved,Expense,,Yes,No,SUSPENSEBALANCING_ACCT,DEFAULTS_NOT_CONFIGURED
CB_EXPENSE,Cash book expense,Default other expense for petty cash transactions,Expense,,Yes,No,CB_EXPENSE_ACCT,DEFAULTS_NOT_CONFIGURED
CB_RECEIPT,Cash book receipts,Default other revenue for petty cash transactions,Revenue,,Yes,No,CB_RECEIPT_ACCT,DEFAULTS_NOT_CONFIGURED
CH_EXPENSE,Charge expense,Default other expense,Expense,,Yes,No,CH_EXPENSE_ACCT,DEFAULTS_NOT_CONFIGURED
B_INTERESTREV,Interest Income,Bank interest revenue,Revenue,,Yes,No,B_INTERESTREV_ACCT,DEFAULTS_NOT_CONFIGURED
UNREALIZEDGAIN,Unrealized gain,Difference between foreign currency receivables/payables and current rate,Revenue,,Yes,No,UNREALIZEDGAIN_ACCT,DEFAULTS_NOT_CONFIGURED
REALIZEDGAIN,Realized gain,Difference between invoice and payment currency,Revenue,,Yes,No,REALIZEDGAIN_ACCT,DEFAULTS_NOT_CONFIGURED
B_INTERESTEXP,Interest Expense,Bank interest expense,Expense,,Yes,No,B_INTERESTEXP_ACCT,DEFAULTS_NOT_CONFIGURED
UNREALIZEDLOSS,Unrealized loss,Difference between foreign currency receivables/payables and current rate,Expense,,Yes,No,UNREALIZEDLOSS_ACCT,DEFAULTS_NOT_CONFIGURED
REALIZEDLOSS,Realized loss,Difference between invoice and payment currency,Expense,,Yes,No,REALIZEDLOSS_ACCT,DEFAULTS_NOT_CONFIGURED
CURRENCYBALANCING,Currency balancing,Rounding difference to make journal balance in accounting currency,Expense,,Yes,No,CURRENCYBALANCING_ACCT,DEFAULTS_NOT_CONFIGURED
COMMITMENTOFFSET,PO Commitment,PO Commitment,Memo,,Yes,No,COMMITMENTOFFSET_ACCT,DEFAULTS_NOT_CONFIGURED
COMMITMENTOFFSETSALES,SO Commitment,SO Commitment,Memo,,Yes,No,COMMITMENTOFFSETSALES_ACCT,DEFAULTS_NOT_CONFIGURED
1,Asset,Asset,Asset,,No,Yes,,
1001,Kotak Bank Account,Kotak Bank Account,Asset,,No,No,,
1002,Cash in Hand,Cash in Hand,Asset,,No,No,,
1003,Accounts Receivable,Accounts Receivable,Asset,,No,No,,
1004,Prepaid Expenses,Prepaid Expenses,Asset,,No,No,,
1005,Security Deposits (Rental),Security Deposits (Rental),Asset,,No,No,,
1201,Computer Equipment,Computer Equipment,Asset,,No,No,,
1202,Office Furniture,Office Furniture,Asset,,No,No,,
1203,Office Equipment,Office Equipment,Asset,,No,No,,
1301,Investments,Investments,Asset,,No,No,,
2,Liabilities,Liabilities,Liability,,No,Yes,,
2001,Accounts Payable,Accounts Payable,Liability,,No,No,,
2002,Salary Payable,Salary Payable,Liability,,No,No,,
2003,Provident Fund Payable,Provident Fund Payable,Liability,,No,No,,
2004,TDS Payable,TDS Payable,Liability,,No,No,,
2005,GST Payable,GST Payable,Liability,,No,No,,
2101,Loan from Directors,Loan from Directors,Liability,,No,No,,
3,Equity,Equity,Owner's Equity,,No,Yes,,
3001,Share Capital,Share Capital,Owner's Equity,,No,No,,
3002,Retained Earnings,Retained Earnings,Owner's Equity,,No,No,,
3003,Director's Equity Contribution,Director's Equity Contribution,Owner's Equity,,No,No,,
4,Income,Income,Revenue,,No,Yes,,
4001,Revenue from IT Services,Revenue from IT Services,Revenue,,No,No,,
4002,Maintenance Income,Maintenance Income,Revenue,,No,No,,
4003,Consulting Income,Consulting Income,Revenue,,No,No,,
4101,Interest Income,Interest Income,Revenue,,No,No,,
5,Expenses,Expenses,Expense,,No,Yes,,
5001,Rent Expense,Rent Expense,Expense,,No,No,,
5002,Employee Salaries,Employee Salaries,Expense,,No,No,,
